frameIndex;frameTime;mfcc_sma[1];mfcc_sma[2];mfcc_sma[3];mfcc_sma[4];mfcc_sma[5];mfcc_sma[6];mfcc_sma[7];mfcc_sma[8];mfcc_sma[9];mfcc_sma[10];mfcc_sma[11];mfcc_sma[12]
53;0.530000;-1.070586e+01;-5.547521e+00;-1.266895e+01;-1.997938e+01;-1.149668e+01;-3.619194e+00;-3.938793e+00;-1.031425e+01;-1.037713e+01;-1.165644e+01;-1.339710e+01;-1.780772e+01
54;0.540000;-1.211318e+01;-4.147060e+00;-1.509158e+01;-1.729031e+01;-1.610970e+01;-6.467770e+00;-3.825487e+00;-1.251568e+01;-9.746437e+00;-1.267503e+01;-1.019483e+01;-1.512579e+01
55;0.550000;-1.527191e+01;-1.444900e+00;-1.529467e+01;-1.388247e+01;-1.359577e+01;-7.257306e+00;-3.680185e+00;-1.362603e+01;-1.446703e+01;-1.394795e+01;-8.435011e+00;-1.214408e+01
56;0.560000;-1.802636e+01;-2.387609e-01;-1.326186e+01;-1.211155e+01;-1.238600e+01;-7.546363e+00;-3.793285e+00;-1.331626e+01;-1.602942e+01;-1.300459e+01;-9.037152e+00;-1.034890e+01
57;0.570000;-2.019878e+01;4.566357e-01;-1.232824e+01;-1.226640e+01;-8.618625e+00;-8.364162e+00;-5.272206e+00;-1.122229e+01;-1.704256e+01;-1.677052e+01;-1.374238e+01;-9.713778e+00
58;0.580000;-2.127395e+01;1.092850e-01;-1.229606e+01;-1.193824e+01;-9.114593e+00;-8.945485e+00;-7.384404e+00;-9.757730e+00;-1.209831e+01;-1.922403e+01;-1.484400e+01;-7.960939e+00
59;0.590000;-2.159847e+01;1.496632e-01;-1.280008e+01;-1.143221e+01;-8.738610e+00;-7.379993e+00;-6.502723e+00;-1.016155e+01;-1.176497e+01;-1.920189e+01;-1.680083e+01;-7.218829e+00
60;0.600000;-2.132714e+01;-1.777236e-01;-1.190463e+01;-9.340475e+00;-1.149560e+01;-5.897126e+00;-4.664181e+00;-1.097266e+01;-1.181579e+01;-1.640763e+01;-1.228927e+01;-8.828147e+00
61;0.610000;-1.977567e+01;-1.091799e+00;-1.149612e+01;-1.185070e+01;-1.606957e+01;-7.346240e+00;-4.549516e-01;-1.206124e+01;-1.553029e+01;-1.199305e+01;-7.622098e+00;-1.168397e+01
62;0.620000;-1.690966e+01;-3.810712e+00;-1.172971e+01;-1.557612e+01;-1.558998e+01;-8.070484e+00;6.191481e+00;-6.516894e+00;-1.705047e+01;-6.239440e+00;-1.395821e+00;-1.152505e+01
63;0.630000;-1.468862e+01;-5.059707e+00;-1.365214e+01;-1.711119e+01;-1.464028e+01;-6.712044e+00;9.371281e+00;-2.595803e+00;-1.976575e+01;-7.748283e+00;-4.957903e+00;-1.422308e+01
64;0.640000;-1.519203e+01;-6.232848e+00;-1.351556e+01;-1.656036e+01;-1.273742e+01;-6.876993e+00;6.312826e+00;-2.201102e+00;-1.793988e+01;-9.977697e+00;-7.981519e+00;-1.274578e+01
65;0.650000;-1.727072e+01;-5.725331e+00;-1.581786e+01;-1.772570e+01;-1.457109e+01;-7.814838e+00;7.805329e-01;-7.955886e+00;-1.564212e+01;-1.177757e+01;-1.001520e+01;-1.394851e+01
66;0.660000;-1.917223e+01;-4.719795e+00;-1.596077e+01;-1.999706e+01;-1.584393e+01;-1.018916e+01;-4.360087e-01;-1.035102e+01;-1.314858e+01;-1.430177e+01;-1.217842e+01;-1.192755e+01
67;0.670000;-1.969457e+01;-4.010964e+00;-1.494510e+01;-1.753771e+01;-1.587053e+01;-1.149410e+01;-5.569093e-01;-8.895427e+00;-1.233557e+01;-1.755867e+01;-1.686903e+01;-1.207859e+01
